Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Scott Brown,62.77,2015,65.18,28.56,60.69,70.797,690,97.0,288.2
Charlie Beljan,62.61,2015,65.51,29.97,48.77,72.01,369,76.0,309.8
Kevin Na,62.51,2015,64.56,28.35,62.87,70.12100000000001,"1,062",98.0,280.1
Greg Chalmers,62.17,2015,63.79,28.59,57.39,71.363,242,58.0,281.5
Johnson Wagner,62.11,2015,68.95,29.37,59.47,70.807,551,68.0,290.7
Rickie Fowler,62.08,2015,65.81,28.44,61.1,70.23,"1,498",66.0,302.1
Shawn Stefani,62.06,2015,68.79,29.02,56.44,70.421,987,94.0,296.3
Alex Prugh,62.03,2015,70.14,30.04,53.02,71.089,433,84.0,295.2
Chris Kirk,61.97,2015,64.54,28.6,60.3,70.959,"1,087",76.0,285.8
Scott Langley,61.9,2015,64.67,28.99,59.15,71.032,448,94.0,280.5
Daniel Summerhays,61.79,2015,65.62,28.54,57.76,70.39699999999999,720,101.0,284.0
Oscar Fraustro,61.78,2015,63.17,28.81,56.42,72.08,171,58.0,289.5
Kyle Reifers,61.59,2015,67.03,29.16,61.36,70.854,626,96.0,288.0
Michael Putnam,61.47,2015,70.13,29.84,59.08,71.156,407,87.0,288.8
Brice Garnett,61.25,2015,68.28,29.77,55.65,71.453,398,81.0,287.1
Brendan Steele,61.13,2015,68.52,29.13,60.08,70.413,895,88.0,302.9
Nick Watney,61.08,2015,67.34,29.32,58.69,70.68,847,91.0,294.0
Brandt Snedeker,60.98,2015,64.97,28.26,63.27,70.158,"1,537",98.0,288.4
Gonzalo Fernandez-Castaño,60.97,2015,63.92,29.1,57.8,71.5,272,81.0,289.3
Scott Pinckney,60.95,2015,67.61,29.48,55.75,71.10300000000001,645,88.0,290.3
Fabián Gómez,60.88,2015,63.52,28.72,58.72,71.207,797,83.0,283.2
Charl Schwartzel,60.81,2015,64.99,29.57,54.66,71.093,584,67.0,300.4
Daniel Berger,60.74,2015,68.84,29.23,60.66,70.581,899,80.0,300.4
Sean O'Hair,60.74,2015,64.34,28.42,59.42,71.03,719,86.0,295.3
Bo Van Pelt,60.73,2015,66.88,29.54,55.84,71.497,322,81.0,289.5
Adam Scott,60.69,2015,69.62,30.11,54.09,70.456,585,51.0,311.6
Whee Kim,60.4,2015,68.2,29.07,57.72,71.097,393,71.0,282.4
Cameron Percy,60.31,2015,67.78,29.31,56.16,71.039,361,72.0,290.0
Rory Sabbatini,60.3,2015,67.83,28.94,63.11,70.435,678,81.0,290.0
J.J. Henry,60.29,2015,69.88,30.24,54.3,71.334,620,94.0,292.3
Jonas Blixt,60.26,2015,62.71,28.56,58.57,71.238,471,78.0,287.6
Jamie Donaldson,60.09,2015,63.83,28.96,59.48,71.102,447,50.0,294.9
Vijay Singh,60.06,2015,66.24,29.15,60.97,70.76100000000001,490,78.0,290.6
Sangmoon Bae,60.03,2015,62.93,28.55,61.16,71.036,"1,025",98.0,289.8
James Hahn,59.89,2015,66.13,29.0,58.46,70.896,"1,012",94.0,295.1
Louis Oosthuizen,59.84,2015,68.28,29.19,61.3,70.16,"1,088",68.0,298.8
Carlos Ortiz,59.84,2015,66.84,29.26,55.5,71.098,515,100.0,298.4
Matt Jones,59.7,2015,64.05,28.25,61.27,70.812,821,89.0,296.0
Lee Westwood,59.7,2015,66.45,29.29,52.23,70.484,530,56.0,300.0
Greg Owen,59.63,2015,69.25,29.86,59.81,71.512,608,58.0,293.8
Geoff Ogilvy,59.59,2015,66.55,30.44,51.56,71.559,350,50.0,293.7
Sergio Garcia,59.47,2015,67.56,28.96,58.41,69.958,"1,051",59.0,300.0
Robert Streb,59.47,2015,69.14,29.1,59.57,70.13,"1,720",110.0,297.1
Roger Sloan,59.45,2015,63.14,29.33,53.62,72.533,103,56.0,293.6
Andrew Svoboda,59.32,2015,63.6,29.51,51.08,72.119,266,80.0,287.1
Erik Compton,59.31,2015,63.18,28.44,60.53,71.22800000000001,471,86.0,288.4
Scott Piercy,59.3,2015,66.73,28.88,58.63,70.688,"1,127",90.0,296.7
Luke Donald,59.28,2015,65.57,29.17,61.14,70.555,484,71.0,277.0
Carl Pettersson,59.05,2015,63.0,28.44,62.18,70.866,723,106.0,291.6
Hunter Mahan,58.91,2015,65.79,28.98,59.6,71.124,648,88.0,295.1
Jeff Overton,58.87,2015,65.7,28.78,58.8,70.836,458,94.0,284.8
Luke Guthrie,58.86,2015,63.75,28.7,57.57,71.211,373,84.0,283.9
Tom Hoge,58.84,2015,66.03,28.9,58.59,70.812,441,83.0,292.2
Martin Laird,58.54,2015,66.31,29.12,60.17,70.77199999999999,628,77.0,300.5
Harris English,58.51,2015,67.05,28.83,61.65,70.235,932,72.0,301.1
Justin Thomas,58.24,2015,68.92,28.64,61.55,70.105,"1,007",80.0,303.9
Michael Thompson,58.24,2015,65.43,29.35,55.36,71.23,378,83.0,289.3
Byron Smith,58.15,2015,68.89,29.84,54.22,71.801,96,59.0,291.9
Andres Gonzales,58.06,2015,66.67,28.99,55.62,71.42699999999999,531,90.0,294.5
Charley Hoffman,58.01,2015,66.19,28.83,58.74,70.613,"1,512",72.0,305.3
Scott Stallings,57.74,2015,65.0,29.27,54.23,71.961,447,60.0,291.8
Jim Renner,57.44,2015,65.24,30.06,54.96,72.431,63,68.0,283.3
Stewart Cink,57.35,2015,72.94,30.14,58.13,70.774,494,77.0,293.6
Brooks Koepka,57.33,2015,69.48,29.1,56.63,69.861,"1,544",84.0,308.2
Chesson Hadley,56.87,2015,63.59,28.68,57.7,71.798,626,101.0,290.7
Martin Flores,56.83,2015,68.32,29.6,58.77,70.919,345,95.0,296.8
Ernie Els,56.79,2015,64.52,29.79,56.59,71.83,233,57.0,291.7
Robert Garrigus,56.72,2015,63.97,29.41,53.04,71.774,226,70.0,301.7
Retief Goosen,56.57,2015,62.19,29.04,59.35,71.667,519,81.0,292.6
Ryan Palmer,56.57,2015,66.81,29.0,60.57,70.102,817,80.0,305.2
Bubba Watson,56.55,2015,69.32,28.96,61.89,69.296,"2,407",71.0,315.2
Max Homa,56.45,2015,62.99,28.85,59.23,71.763,278,78.0,294.2
Jason Kokrak,56.41,2015,67.3,28.99,58.3,70.654,614,88.0,305.6
Ryo Ishikawa,56.39,2015,66.41,28.95,55.45,71.24600000000001,458,90.0,289.2
D.A. Points,56.37,2015,64.29,29.24,59.78,71.70100000000001,244,72.0,280.8
Gary Woodland,56.21,2015,66.74,29.53,56.66,70.982,"1,037",68.0,313.3
Nick Taylor,56.05,2015,64.41,28.8,58.32,71.71600000000001,549,91.0,292.3
Jhonattan Vegas,56.01,2015,65.44,29.29,59.25,71.32600000000001,353,66.0,306.0
Phil Mickelson,55.98,2015,61.51,28.23,59.38,70.585,849,70.0,300.5
Jason Day,55.94,2015,70.83,28.44,65.34,69.161,"2,459",75.0,313.7
Ángel Cabrera,55.9,2015,64.88,29.87,50.45,71.734,208,53.0,299.7
Eric Axley,55.54,2015,61.21,28.55,60.68,71.977,152,57.0,286.4
Dustin Johnson,55.53,2015,67.05,28.47,57.85,69.585,"1,718",75.0,317.7
Jonathan Randolph,55.19,2015,64.37,29.2,60.8,71.60600000000001,209,72.0,287.2
Marc Leishman,54.99,2015,65.62,28.99,56.67,70.569,854,74.0,294.8
Andrew Putnam,54.98,2015,59.9,28.33,56.71,72.278,192,68.0,278.7
Seung-Yul Noh,54.87,2015,65.9,29.31,54.89,71.465,432,65.0,292.7
Morgan Hoffmann,54.83,2015,61.11,28.29,59.16,70.988,627,85.0,296.1
Patrick Reed,54.78,2015,64.42,28.16,61.99,70.292,"1,593",103.0,292.9
Tony Finau,54.3,2015,67.61,29.11,56.15,70.281,985,74.0,302.0
Camilo Villegas,54.12,2015,63.05,28.93,59.06,71.067,467,83.0,292.2
Ricky Barnes,54.1,2015,60.47,28.31,60.0,71.64699999999999,347,82.0,283.3
J.B. Holmes,54.05,2015,63.66,28.32,59.35,70.581,"1,484",89.0,309.9
Steven Bowditch,54.04,2015,63.43,28.2,65.19,70.835,"1,287",103.0,302.1
Tyrone Van Aswegen,53.39,2015,66.77,29.48,58.2,71.684,142,58.0,285.6
Andres Romero,52.67,2015,61.7,28.64,56.7,71.42699999999999,312,69.0,295.3
Charles Howell III,52.43,2015,68.57,29.75,56.06,70.872,692,105.0,302.7
Jimmy Walker,52.23,2015,66.09,28.7,57.71,70.268,"2,014",89.0,301.6
Padraig Harrington,51.72,2015,61.02,29.15,57.01,71.95,610,60.0,290.5
Derek Fathauer,51.63,2015,61.33,28.39,57.46,71.431,263,81.0,288.8
Matt Every,51.52,2015,58.1,28.67,55.87,72.419,727,73.0,286.6
Aaron Baddeley,50.29,2015,62.46,28.28,61.0,71.218,336,76.0,294.1
David Toms,75.49,2014,68.73,29.29,61.6,70.35,498,64.0,275.1
Tim Clark,74.02,2014,64.3,28.81,59.34,70.738,"1,111",75.0,272.2
Justin Hicks,73.46,2014,71.44,30.09,54.81,70.836,923,103.0,285.1
Jim Furyk,73.18,2014,68.75,28.96,69.33,69.2,"1,851",84.0,279.3
Heath Slocum,72.41,2014,67.31,29.71,61.58,70.737,419,71.0,277.8
Zach Johnson,70.51,2014,67.42,28.9,60.75,70.15899999999999,"1,552",97.0,282.2
Billy Hurley III,70.44,2014,65.89,29.38,61.36,70.696,630,86.0,276.7
Ken Duke,70.18,2014,67.17,29.54,57.48,71.137,305,80.0,275.5
Ryan Moore,69.92,2014,67.99,29.05,57.64,70.344,"1,429",86.0,284.7
Boo Weekley,69.57,2014,68.06,30.56,53.14,71.307,496,73.0,288.3
"Ted Potter, Jr.",69.56,2014,65.11,29.31,62.76,71.087,311,68.0,278.4
Graeme McDowell,69.2,2014,65.77,28.56,60.47,69.642,948,66.0,278.0
Jeff Maggert,68.83,2014,65.74,29.98,58.26,71.612,195,54.0,276.6
Henrik Stenson,68.78,2014,69.03,29.89,51.83,70.166,720,56.0,293.2
John Merrick,68.62,2014,68.07,30.12,50.31,71.852,399,87.0,285.3
Kevin Streelman,68.04,2014,63.25,29.0,54.07,71.354,972,79.0,288.6
Brendon de Jonge,67.87,2014,64.48,29.06,57.1,70.801,717,109.0,287.9
Russell Knox,67.6,2014,68.0,29.24,63.4,70.111,885,92.0,285.7
David Hearn,67.48,2014,66.38,29.02,60.99,70.83,645,97.0,279.1
Matt Kuchar,67.37,2014,66.92,28.74,62.4,69.416,"1,921",91.0,283.8
Brian Davis,67.23,2014,61.47,28.59,61.55,71.232,534,93.0,278.2
Nicholas Thompson,67.08,2014,66.67,30.33,52.88,71.657,437,85.0,287.0
Billy Horschel,67.04,2014,70.43,29.86,55.32,70.521,722,92.0,291.6
Mark Wilson,67.0,2014,63.25,29.77,55.58,71.732,142,69.0,279.6
John Huh,66.87,2014,64.39,29.43,57.52,71.24,544,87.0,283.9
Scott Brown,66.55,2014,65.0,28.78,58.73,70.936,816,100.0,287.2
Jerry Kelly,66.49,2014,65.56,28.55,62.1,70.34899999999999,765,80.0,277.5
D.H. Lee,66.47,2014,59.89,29.14,58.73,71.914,94,54.0,276.2
Ben Crane,66.4,2014,63.44,28.78,59.1,70.954,774,81.0,279.0
Daniel Summerhays,66.3,2014,66.89,29.16,58.22,70.566,869,98.0,282.2
Brian Stuard,66.14,2014,63.86,28.54,60.42,70.54899999999999,891,91.0,283.4
Andrew Svoboda,66.14,2014,68.11,29.7,59.05,70.71300000000001,647,77.0,287.4
William McGirt,65.94,2014,64.41,28.71,59.02,70.712,646,96.0,278.5
Y.E. Yang,65.41,2014,61.68,29.06,56.69,71.712,234,79.0,281.9
Chad Campbell,65.36,2014,72.43,30.25,60.08,70.59,317,57.0,287.8
Hunter Mahan,65.1,2014,66.67,29.33,54.71,70.574,776,88.0,295.8
Danny Lee,65.05,2014,64.44,29.16,57.62,70.80199999999999,490,84.0,284.2
Justin Leonard,65.04,2014,57.78,27.77,64.56,70.895,491,75.0,270.3
Jason Bohn,64.95,2014,64.75,28.84,56.03,70.892,784,81.0,280.0
Spencer Levin,64.92,2014,64.31,29.17,59.89,71.086,246,59.0,280.1
Kevin Chappell,64.9,2014,67.59,29.11,57.32,70.46600000000001,723,100.0,296.2
Brendon Todd,64.85,2014,63.99,28.32,63.57,70.04899999999999,"1,542",108.0,280.3
Ben Curtis,64.8,2014,62.63,28.95,56.62,71.354,406,77.0,279.5
Will MacKenzie,64.5,2014,65.58,29.02,55.91,70.685,920,82.0,290.6
Derek Ernst,64.41,2014,63.52,29.92,51.3,72.593,218,80.0,297.0
J.J. Henry,64.39,2014,69.6,30.33,56.72,71.064,425,91.0,290.7
Ben Martin,64.34,2014,66.04,28.93,59.1,70.732,789,80.0,291.7
Kevin Na,64.32,2014,64.72,28.46,65.16,69.99600000000001,"1,413",94.0,280.3
Kevin Stadler,64.28,2014,68.91,29.76,53.41,70.62,"1,067",90.0,291.6
Hudson Swafford,64.28,2014,68.78,30.18,52.63,71.167,351,75.0,297.5
John Senden,64.25,2014,67.85,29.17,60.21,70.27,"1,157",99.0,288.9
K.J. Choi,64.22,2014,62.08,28.81,56.78,70.87,814,80.0,279.8
Shawn Stefani,64.17,2014,66.2,29.3,59.45,70.609,640,60.0,297.7
Lucas Glover,64.02,2014,67.0,30.85,49.74,72.233,129,68.0,300.6
John Peterson,64.0,2014,65.56,29.9,55.91,71.47,170,62.0,288.1
Nick Watney,63.97,2014,67.33,29.69,56.01,70.756,584,80.0,295.8
Chris Stroud,63.93,2014,65.21,28.35,61.89,70.476,834,88.0,285.8
Cameron Tringale,63.87,2014,66.77,29.17,59.34,70.63,781,111.0,282.9
Jason Dufner,63.76,2014,66.26,29.67,52.74,70.9,798,57.0,285.3
Briny Baird,63.7,2014,63.44,29.58,56.84,71.679,366,50.0,281.6
Brandt Snedeker,63.7,2014,63.28,28.74,59.48,70.671,812,89.0,285.6
Russell Henley,63.67,2014,61.84,28.92,52.37,71.37899999999999,864,92.0,293.7
Roberto Castro,62.95,2014,60.44,29.12,55.79,71.617,387,76.0,283.9
Bill Haas,62.94,2014,68.62,29.33,60.37,70.132,"1,268",107.0,291.9
Bo Van Pelt,62.83,2014,68.61,29.6,57.78,70.827,518,83.0,291.3
Chris Kirk,62.78,2014,63.46,28.44,63.3,70.15,"1,571",105.0,291.0
Luke Donald,62.56,2014,63.0,28.59,60.59,70.735,743,57.0,278.1
D.A. Points,62.56,2014,62.71,29.82,53.88,72.23899999999999,206,75.0,284.5
Keegan Bradley,62.36,2014,66.67,28.88,62.31,70.031,"1,278",76.0,303.9
Webb Simpson,62.24,2014,65.28,28.83,59.05,70.234,"1,536",87.0,288.5
George McNeill,62.22,2014,66.17,28.9,58.21,70.248,962,79.0,286.1
Michael Thompson,62.22,2014,65.69,29.09,58.42,71.194,515,74.0,289.2
Sergio Garcia,62.19,2014,68.68,28.59,66.67,68.95,"1,700",61.0,294.3
Jim Herman,62.18,2014,66.38,29.74,54.7,71.619,142,62.0,294.7
Graham DeLaet,62.07,2014,70.68,29.75,58.75,69.943,"1,113",80.0,303.4
Brian Gay,61.99,2014,59.21,28.16,65.69,71.493,375,81.0,271.6
Richard Lee,61.86,2014,59.97,28.37,61.21,71.528,376,80.0,285.1
Jonathan Byrd,61.58,2014,64.89,29.1,58.02,71.083,383,76.0,288.1
Hideki Matsuyama,61.52,2014,64.03,28.88,60.42,70.083,"1,287",82.0,294.8
Adam Scott,61.51,2014,68.79,28.76,60.73,69.205,"1,479",68.0,303.5
Robert Allenby,61.47,2014,67.63,29.85,59.96,70.92,438,83.0,284.9
Woody Austin,61.45,2014,60.83,29.14,54.81,71.743,225,63.0,278.5
Kevin Kisner,61.43,2014,65.29,28.78,56.69,70.718,587,85.0,287.8
Troy Merritt,61.43,2014,65.05,29.18,56.15,70.9,499,62.0,285.2
Willy Wilcox,61.4,2014,66.89,29.59,58.9,70.819,362,51.0,297.3
Sangmoon Bae,61.39,2014,62.94,28.88,57.4,71.168,466,76.0,288.5
Ian Poulter,61.35,2014,62.4,28.64,58.05,70.722,657,57.0,288.1
Martin Kaymer,61.27,2014,64.58,29.0,53.43,70.468,"1,525",65.0,294.9
Martin Laird,61.26,2014,66.31,29.76,53.72,71.436,425,66.0,297.2
Kyle Stanley,61.26,2014,66.87,30.36,52.73,71.745,297,87.0,297.5
Josh Teater,61.22,2014,65.09,29.59,57.69,71.301,334,90.0,294.6
Lee Westwood,61.22,2014,63.69,28.95,56.28,70.738,514,57.0,292.3
Jhonattan Vegas,61.16,2014,69.11,30.13,59.23,71.02199999999999,505,66.0,306.0
Scott Langley,61.08,2014,64.16,28.72,61.67,70.66199999999999,686,95.0,281.3
Michael Putnam,61.08,2014,67.05,29.76,56.69,70.905,618,106.0,293.0
Wes Roach,61.05,2014,64.2,28.9,57.64,71.206,314,67.0,293.0
Brian Harman,60.96,2014,64.26,28.65,59.66,70.391,"1,349",111.0,289.0
Louis Oosthuizen,60.9,2014,66.43,29.98,51.8,70.852,453,50.0,300.5
James Hahn,60.83,2014,63.96,29.65,55.11,71.186,456,82.0,289.6
Vijay Singh,60.66,2014,65.39,29.54,59.19,70.933,625,83.0,289.7
Paul Casey,60.49,2014,65.77,29.0,56.23,70.152,471,56.0,293.0
Bubba Watson,60.47,2014,67.96,28.99,59.14,69.712,"2,173",76.0,314.3
Stuart Appleby,60.42,2014,62.96,28.42,61.0,70.59899999999999,554,92.0,278.6
Brad Fritsch,60.24,2014,65.05,28.88,59.93,70.888,322,50.0,294.4
Pat Perez,60.05,2014,64.35,28.77,60.3,71.11,682,84.0,286.4
Harris English,59.95,2014,68.36,29.28,57.44,70.094,"1,469",72.0,301.1
Camilo Villegas,59.95,2014,66.96,29.21,56.64,70.71600000000001,"1,002",95.0,292.5
Gonzalo Fernandez-Castaño,59.93,2014,60.84,28.72,57.79,71.294,470,83.0,288.1
Rickie Fowler,59.93,2014,64.51,28.46,62.06,70.172,"1,471",66.0,302.1
Rory McIlroy,59.93,2014,69.44,28.59,58.52,68.827,"2,582",48.0,317.5
Justin Rose,59.92,2014,66.91,28.85,61.23,69.624,"1,447",70.0,295.1
David Lingmerth,59.83,2014,63.3,28.93,54.58,71.469,391,80.0,289.8
John Rollins,59.8,2014,64.86,30.06,52.77,71.932,244,84.0,290.1
Bronson La'Cassie,59.76,2014,61.35,29.13,60.24,71.77199999999999,128,51.0,284.9
Chad Collins,59.67,2014,59.98,28.41,59.66,71.315,295,78.0,275.4
Robert Streb,59.62,2014,65.65,28.9,59.0,70.502,635,75.0,300.0
Brendan Steele,59.51,2014,66.47,29.24,59.45,70.798,729,89.0,298.9
Tim Wilkinson,59.51,2014,61.72,28.55,63.19,70.714,494,86.0,282.4
Bryce Molder,59.49,2014,63.93,28.79,60.34,71.112,455,77.0,278.7
Gary Woodland,59.49,2014,66.55,29.1,60.11,70.249,"1,059",68.0,313.3
Stewart Cink,59.45,2014,66.36,29.52,55.35,70.847,504,91.0,293.7
Charl Schwartzel,59.45,2014,63.53,28.34,61.67,69.671,783,64.0,297.8
Freddie Jacobson,59.35,2014,62.58,28.38,61.34,70.604,987,91.0,284.6
Davis Love III,59.04,2014,64.51,29.63,55.43,71.36399999999999,253,74.0,296.3
Charlie Beljan,59.02,2014,65.2,29.64,52.99,71.28,409,76.0,303.8
Luke Guthrie,58.99,2014,63.53,28.49,61.29,70.638,575,85.0,287.6
Kevin Tway,58.95,2014,64.35,30.15,52.99,71.91199999999999,172,64.0,294.5
Brice Garnett,58.91,2014,65.15,29.05,59.6,71.039,488,92.0,289.3
Carl Pettersson,58.79,2014,66.67,29.44,57.33,70.52,650,91.0,295.5
Jordan Spieth,58.79,2014,62.47,27.86,62.39,69.946,"1,692",76.0,304.5
Jason Day,58.72,2014,64.0,28.71,64.95,69.626,"1,028",54.0,301.2
Charley Hoffman,58.69,2014,67.08,28.97,59.53,70.464,"1,026",72.0,305.3
Ryan Palmer,58.55,2014,66.67,28.73,58.24,69.993,"1,068",85.0,300.4
Greg Chalmers,58.51,2014,59.88,28.16,59.49,71.251,402,85.0,280.7
Geoff Ogilvy,58.51,2014,64.51,29.43,55.77,71.422,611,84.0,292.5
Trevor Immelman,58.5,2014,65.28,29.7,54.6,71.471,354,84.0,291.8
Matt Jones,58.5,2014,63.25,28.75,55.92,71.021,970,83.0,296.3
Erik Compton,58.48,2014,63.07,28.78,58.8,70.829,745,88.0,283.3
Ángel Cabrera,58.4,2014,64.98,29.39,53.1,70.675,807,69.0,303.7
Phil Mickelson,58.01,2014,65.26,28.58,61.71,70.278,921,71.0,292.4
Marc Leishman,57.97,2014,65.21,28.96,57.29,70.152,"1,137",81.0,297.6
Tommy Gainey,57.92,2014,64.01,29.3,50.56,71.51,311,73.0,294.0
Charlie Wi,57.74,2014,60.87,28.57,62.27,71.067,329,72.0,281.0
Bud Cauley,57.54,2014,67.46,29.39,59.76,71.06,357,60.0,303.8
Jeff Overton,57.36,2014,65.79,28.87,60.47,70.734,631,80.0,287.5
Robert Garrigus,57.18,2014,65.14,29.0,57.17,70.72800000000001,678,80.0,306.1
Dustin Johnson,57.18,2014,68.03,28.74,59.76,69.546,"1,769",58.0,311.0
Chesson Hadley,57.01,2014,63.03,29.0,54.2,71.212,705,84.0,290.6
Johnson Wagner,56.95,2014,64.1,29.29,58.33,71.444,323,69.0,287.1
Matt Every,56.72,2014,63.33,28.82,58.82,70.722,"1,250",85.0,286.3
Martin Flores,56.71,2014,66.54,29.56,57.42,71.199,530,85.0,296.0
Jim Renner,56.5,2014,62.71,29.81,47.98,71.843,346,61.0,288.2
Jonas Blixt,56.16,2014,61.11,28.77,58.76,71.581,599,64.0,286.1
Scott Stallings,56.04,2014,63.16,29.38,54.17,71.835,668,77.0,300.4
Retief Goosen,55.9,2014,63.64,29.09,61.12,70.72800000000001,569,94.0,288.8
Jason Kokrak,55.64,2014,65.38,28.8,59.75,70.307,632,65.0,303.4
Patrick Reed,55.59,2014,63.64,28.76,59.42,70.598,"1,666",92.0,292.3
Rory Sabbatini,55.48,2014,65.38,29.53,55.35,71.381,567,82.0,294.2
Steven Bowditch,55.13,2014,63.38,29.15,56.77,71.145,828,93.0,298.1
Seung-Yul Noh,55.02,2014,66.97,29.2,60.33,70.661,950,92.0,296.5
Ricky Barnes,54.85,2014,64.96,28.83,61.8,70.671,518,92.0,290.7
Andres Romero,54.79,2014,60.53,28.53,59.96,70.852,503,81.0,294.6
J.B. Holmes,54.71,2014,60.92,28.35,58.51,70.721,"1,007",86.0,308.0
Morgan Hoffmann,54.09,2014,62.74,28.53,57.53,70.899,448,103.0,295.4
Jamie Lovemark,53.94,2014,64.91,29.48,56.2,71.345,212,64.0,302.4
Sean O'Hair,53.73,2014,63.42,29.06,59.57,71.24,278,77.0,300.5
Tyrone Van Aswegen,53.54,2014,64.17,29.01,58.25,71.07,355,79.0,290.0
Ernie Els,53.26,2014,61.6,28.68,61.36,70.736,610,85.0,291.2
Ryo Ishikawa,53.26,2014,64.96,28.79,54.55,70.98,681,75.0,291.0
Troy Matteson,53.09,2014,61.97,29.43,52.64,72.237,238,62.0,296.7
Charles Howell III,52.77,2014,67.66,29.11,61.26,70.134,"1,042",106.0,304.1
Mike Weir,52.76,2014,57.44,28.4,59.84,71.789,375,69.0,271.2
James Driscoll,52.68,2014,60.88,28.86,55.4,71.454,311,71.0,284.2
Aaron Baddeley,52.29,2014,59.8,28.15,60.27,70.796,528,74.0,293.8
Jimmy Walker,51.67,2014,67.59,28.73,58.39,69.789,"2,493",98.0,301.0
Andrew Loupe,50.0,2014,63.11,28.79,55.56,71.142,380,65.0,308.0
Jerry Kelly,71.81,2013,65.41,28.84,62.96,70.52199999999999,580,75.0,273.2
Mark Wilson,70.74,2013,66.24,29.69,61.39,70.916,476,56.0,278.0
Steve Stricker,70.65,2013,71.16,28.68,65.57,68.893,"1,117",51.0,283.6
Jim Furyk,70.47,2013,68.3,29.31,59.55,69.828,"1,057",80.0,275.3
Tim Clark,70.31,2013,62.02,28.89,60.19,70.693,703,64.0,273.9
Chez Reavie,70.29,2013,66.74,29.03,59.86,70.6,439,72.0,282.8
Henrik Stenson,70.09,2013,71.96,29.91,57.28,69.248,"1,426",65.0,290.9
Zach Johnson,69.68,2013,68.14,29.35,59.66,70.07300000000001,"1,141",84.0,278.8
Justin Hicks,69.61,2013,68.59,29.89,51.89,71.138,451,79.0,280.0
Ken Duke,69.28,2013,63.09,28.92,56.92,71.025,902,87.0,275.1
Jeff Maggert,68.83,2013,66.58,29.25,60.42,71.208,453,63.0,277.6
Jin Park,68.82,2013,63.44,29.24,59.27,71.777,125,52.0,273.2
Brian Davis,68.61,2013,62.15,28.38,58.87,70.69,622,91.0,278.8
John Huh,68.53,2013,66.6,29.64,59.36,70.758,661,88.0,282.0
Graeme McDowell,68.51,2013,62.7,29.04,61.09,70.503,941,53.0,277.5
Ryan Moore,68.44,2013,64.32,29.18,57.68,70.825,653,72.0,282.3
"Ted Potter, Jr.",68.03,2013,64.48,29.1,60.77,70.615,518,65.0,280.3
Jordan Spieth,67.8,2013,66.94,28.68,61.07,69.668,"1,436",76.0,304.5
Ben Kohles,67.78,2013,65.26,29.32,56.08,71.488,286,75.0,279.0
Darron Stiles,67.64,2013,62.24,29.04,61.26,71.947,125,51.0,275.1
Doug LaBelle II,67.42,2013,64.37,28.9,56.12,71.317,290,72.0,280.1
Roberto Castro,67.36,2013,67.3,29.24,61.47,70.494,823,97.0,282.3
Kevin Streelman,67.25,2013,66.41,29.33,59.42,70.267,"1,333",86.0,287.5
Richard Lee,66.95,2013,66.52,29.05,63.58,70.91199999999999,565,81.0,279.1
Hunter Mahan,66.61,2013,67.58,29.41,58.87,70.10600000000001,"1,101",91.0,290.0
David Toms,66.5,2013,63.64,29.02,59.72,71.134,326,49.0,277.4
Colt Knost,66.48,2013,61.71,28.78,56.47,72.264,130,69.0,271.7
Boo Weekley,66.36,2013,69.39,30.13,55.35,70.611,"1,335",100.0,290.9
Brendon de Jonge,66.28,2013,68.84,29.1,62.56,70.154,769,110.0,286.3
D.H. Lee,66.23,2013,65.98,29.23,57.79,71.187,432,65.0,280.9
K.J. Choi,66.04,2013,65.87,29.12,62.98,70.322,666,85.0,278.3
Brian Stuard,65.99,2013,65.77,29.31,60.31,70.869,583,78.0,281.8
Bryce Molder,65.95,2013,63.68,28.4,61.76,70.52,504,82.0,273.8
Graham DeLaet,65.8,2013,70.51,29.63,59.72,70.089,856,94.0,298.6
Jason Bohn,65.74,2013,64.44,28.79,54.69,71.101,454,70.0,276.3
George McNeill,65.62,2013,65.28,29.4,59.76,70.876,399,68.0,286.0
Vaughn Taylor,65.32,2013,63.53,28.61,56.95,70.89699999999999,246,50.0,289.8
Dicky Pride,65.24,2013,64.43,29.07,59.44,71.293,293,71.0,274.8
J.J. Henry,64.93,2013,67.97,30.0,56.53,70.992,516,83.0,284.7
David Lingmerth,64.87,2013,63.24,28.88,58.44,70.99600000000001,806,68.0,285.8
Jason Dufner,64.81,2013,67.53,29.4,59.11,69.91199999999999,"1,256",78.0,285.9
Brian Gay,64.79,2013,56.68,27.51,63.8,71.16,744,79.0,275.1
Brandt Jobe,64.78,2013,66.0,29.69,54.65,71.175,283,62.0,292.1
Tom Gillis,64.75,2013,60.68,29.02,60.22,71.559,264,69.0,286.3
Matt Jones,64.74,2013,66.0,28.89,63.98,70.245,836,83.0,292.3
Nicholas Thompson,64.74,2013,67.85,29.58,56.89,70.92,585,99.0,291.6
Russell Henley,64.68,2013,64.25,28.94,57.17,70.57,"1,048",80.0,289.0
Justin Leonard,64.36,2013,63.11,28.38,59.02,70.863,536,86.0,276.3
Kevin Stadler,64.21,2013,68.92,29.51,54.75,70.632,547,83.0,289.8
Billy Horschel,64.17,2013,67.48,29.14,55.69,70.244,"1,487",96.0,293.8
